charge_cycles,avg_temperature_c,battery_type,charge_rate,discharge_depth,battery_age_months,voltage_variation,cooling_system,manufacturer,usage_pattern,capacity_remaining_percent
994.0,15.749783903102708,Li-ion,Superfast,83.04311795582512,30.0,4.129413748566823,None,E,Performance,87.27853660682169
,,Li-Po,Medium,62.13588303300692,29.0,1.0450019241198583,Passive,D,Highway,55.29160995464172
121.0,38.21679416935453,Li-ion,Superfast,95.55596552766028,10.0,1.7096912680399907,Passive,E,Performance,52.58003179226115
427.0,38.71314307638763,,Superfast,67.14465156206562,53.0,1.963542594551827,Active,E,Performance,69.82466883821299
1569.0,37.04017707438804,,Slow,61.83192669906031,32.0,4.823389251268233,None,E,Highway,
,30.880541182594857,Li-ion,Superfast,25.714012234629145,9.0,,None,C,Performance,95.16371624780064
183.0,34.528929662111864,Li-ion,Superfast,31.947672395566222,25.0,0.53336101466282,Active,E,Mixed,78.08660016241168
1247.0,35.99796556959341,,Slow,87.96208614113209,16.0,2.21083620291543,Active,A,Mixed,93.67648598047779
,29.836176726416866,NiMH,Superfast,99.25407822606466,15.0,0.534877703895094,Active,D,,51.31514326151478
1683.0,32.870549254039126,Li-ion,Medium,53.21433087186156,59.0,1.5701258321260063,None,C,Highway,73.67921288390548
442.0,40.391041603727196,Li-ion,Medium,84.80688669799433,48.0,2.546150302135298,Active,C,Performance,56.93620391601311
1137.0,24.386370634374817,Li-ion,Fast,70.20686130645214,18.0,1.9552687493937648,,D,Performance,80.30131106096752
1045.0,30.69618980905897,NiMH,Fast,96.72474189373709,53.0,0.6473039552832682,Passive,E,Mixed,97.8913889692909
,15.254391630765236,Li-ion,Fast,39.05097883552746,23.0,1.0235107508395074,Passive,E,Performance,50.37390408978759
452.0,35.623091993303795,Li-ion,,,55.0,2.978989525502298,Active,B,Mixed,84.74749657001794
1186.0,20.86156393844525,Li-Po,Superfast,52.703665467407646,42.0,3.6302220697301837,None,E,Mixed,91.20218535399185
114.0,,Li-ion,Medium,63.33727807544122,3.0,2.320470555048062,None,A,Mixed,88.7130262252781
,21.306156488413777,Li-ion,Fast,41.508646673508416,7.0,3.7916678589120814,Active,E,Highway,51.02799274230084
915.0,15.70601143735477,Li-ion,Superfast,59.819693017259524,39.0,1.2349979983181467,Active,D,Urban,59.04194586640159
450.0,29.496616550940498,Li-ion,Slow,69.98433173798121,52.0,1.0492607651345873,None,E,,54.90876477393185
339.0,27.74500819832121,Li-Po,Medium,26.497270719959367,11.0,4.277541721744742,Passive,D,Performance,54.443618344306664
1556.0,27.754485405731423,Li-ion,Slow,79.43898038460986,55.0,2.0264600682148983,Passive,,Mixed,87.96957489808358
1493.0,21.264184797866108,Li-ion,Fast,76.52183705283338,24.0,2.4451156487499093,None,B,Urban,72.08904651553897
1982.0,43.416137692445375,Li-ion,Fast,90.43660811611882,35.0,4.764117210427834,Active,C,Urban,87.69071383394247
1388.0,15.105214554320835,Li-Po,Fast,54.06852414479404,50.0,2.408505475716992,Passive,D,Performance,68.75912568501923
1162.0,41.746363499920164,Li-Po,Medium,24.933530609177417,25.0,0.5157054763335691,Passive,B,Highway,56.08656403090355
808.0,37.10705769418446,Li-ion,Slow,56.916890321734954,28.0,4.7208737279742605,Passive,C,Performance,
893.0,20.162161005998144,Li-ion,Slow,31.008733764956915,12.0,0.563533850686226,Active,E,Performance,82.55497459487623
710.0,29.165759589106635,Li-ion,Medium,71.79574508174542,23.0,3.4802882767813914,Active,E,Mixed,55.87476014909041
406.0,44.66550244524818,Li-ion,Fast,23.770521930504465,,1.953009092896266,Passive,B,Highway,98.06694940181836
927.0,34.310947109529224,Li-ion,Fast,49.91971249821561,58.0,2.6167584045209225,Active,C,Performance,66.0638823690343
,18.821301714560025,Li-ion,Superfast,26.62743187899963,58.0,2.9627832546328285,None,A,Urban,84.04596292485613
801.0,28.729267165692956,Lead-Acid,Medium,20.269314725728265,41.0,2.338070257829994,Active,A,Urban,51.66300774801765
1591.0,29.04609289718437,Li-ion,Slow,96.84457791212735,37.0,3.984659542319757,None,A,,73.03820649233293
798.0,39.06789998649325,Li-ion,,99.69018784210242,18.0,4.6881788434900065,Passive,C,Mixed,100.14693837471016
414.0,42.48488798478466,Li-Po,Slow,64.44023612254504,,0.8888542345349072,Passive,C,Mixed,96.09844649727616
,17.467246298662037,Li-ion,Slow,39.116467995638715,9.0,4.101137965557379,None,,Performance,61.510057217947775
1921.0,24.42111860858497,Li-ion,Superfast,92.88792294469259,45.0,1.079020134052903,Passive,D,Highway,95.7147774641171
455.0,23.95314380655345,Li-ion,Slow,93.84292776608854,35.0,0.8612473246232348,Passive,A,Mixed,65.23964873077875
1823.0,44.88144374757055,,Superfast,88.36071129365648,,4.801241537249579,,A,Urban,94.31619054656082
188.0,31.77681350074199,NiMH,Superfast,63.54959876539056,57.0,,Active,A,Highway,87.91980036403585
1238.0,41.394944883599536,Li-ion,Superfast,25.976172871682195,18.0,1.1867148095417988,Active,D,Performance,68.3067353356732
1867.0,27.780985483344715,Li-ion,Fast,27.075114202943826,20.0,3.0648070094769033,None,D,Highway,97.36112646068624
1770.0,36.681694512268095,NiMH,Fast,91.72958301701242,21.0,1.6845671244629885,None,C,Mixed,75.23452331894914
715.0,23.59756926912438,Li-ion,Medium,90.06614779657835,,2.589390575635974,Active,A,Mixed,66.52009171145912
1179.0,42.353580704677,Li-ion,Medium,54.751779934497414,20.0,3.3109681724595963,,A,Urban,64.54366457870532
1222.0,28.65438722959601,Li-ion,Superfast,46.252369558114026,55.0,4.411714229914976,Active,E,Performance,98.83148997898084
234.0,39.11176491948262,Lead-Acid,Medium,71.52991361152817,6.0,0.5138662922118874,Passive,E,Highway,89.44621151168221
1483.0,22.674506500276944,Li-ion,,84.559035860442,9.0,1.4636329741217693,None,E,Highway,68.19475303578514
832.0,35.80813025765637,Li-ion,Fast,78.53479536414568,43.0,0.933217443134508,None,D,Highway,63.21675912294299
920.0,27.154752132001075,Li-ion,Superfast,69.24823504405651,29.0,0.9369396570157813,None,C,Highway,61.00408620341961
752.0,15.943182689236412,Lead-Acid,Fast,38.52088355558651,29.0,4.755998359129571,Active,B,,62.71361681367376
1748.0,27.390247612771905,Li-Po,Superfast,41.00038953765721,13.0,4.712373205317736,Active,A,Urban,55.77092835472274
956.0,31.500649252662612,Li-ion,Medium,77.92539851181614,36.0,3.871886358655549,Passive,E,Urban,75.20621784746109
250.0,19.552848417395257,Li-Po,Fast,84.20958819608248,27.0,3.3937836908041197,None,A,Mixed,52.135752399403
667.0,20.51739315577845,Li-Po,Superfast,29.290815047967193,,4.315867008609663,Passive,A,Urban,50.5987616122761
,28.945883949694707,Li-ion,Superfast,34.983763816904485,57.0,0.7628393214075541,Passive,A,Urban,82.1397748431205
1909.0,25.2818913730022,,Slow,74.43762097418971,49.0,1.0376860689555278,Active,C,Performance,54.600924569725315
269.0,28.22221614010088,Li-ion,Superfast,51.118926997712094,44.0,,Active,A,Performance,
